iso,angry_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
AFG,0.13406404372389344,0.209993673551997,0.004042289177463813,0.07605202085952359,0.3707080607895147,0.20204211225394497,0.0030977904627268963,9.090909090909092,18.181818181818183,0.0,9.090909090909092,36.36363636363637,27.27272727272727,0.0
AGO,0.008364573819562793,0.006506866309791803,0.0012715264165308326,0.4774144229013473,0.49733394384384155,0.00784888700582087,0.0012597267923410982,0.0,0.0,0.0,50.0,50.0,0.0,0.0
ALB,0.006381149869412184,0.004707954358309507,0.0016722616273909807,0.11778157949447632,0.8577708005905151,0.010277378372848034,0.0014088362222537398,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ARE,0.004501964993930112,0.02209743729326874,0.0032897445295626917,0.6613632570952177,0.01063319673994556,0.29428839357569814,0.003826008023073276,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0
ARG,0.03213767879963692,0.02715828547511121,0.01496048153634986,0.6193334993360371,0.1071400234439603,0.09386641956195396,0.10540360782761127,0.0,0.0,0.0,65.51724137931035,10.344827586206897,10.344827586206897,13.793103448275861
ARM,0.1632951945066452,0.06109473885347446,0.011731772062679132,0.004836413815307121,0.4501497596502304,0.21970547984043756,0.08918667452720304,33.33333333333333,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0
AUS,0.33230437378052813,0.1806599955956559,0.022682320712379012,0.21638204955021278,0.16519919745415115,0.04482792219175444,0.037944156462729625,30.76923076923077,26.923076923076923,1.282051282051282,21.794871794871796,17.94871794871795,1.282051282051282,0.0
AUT,0.26654317136853933,0.14443322718143464,0.024049597093835473,0.16368761395569892,0.26680380031466483,0.05905339494347572,0.07542921924032271,40.0,20.0,0.0,20.0,20.0,0.0,0.0
AZE,0.04892590942714984,0.09639476828742773,0.014749502118502279,0.21976518454806257,0.4333011408646901,0.13483895356184802,0.05202455124817788,0.0,6.666666666666667,0.0,26.666666666666668,46.666666666666664,13.333333333333334,6.666666666666667
BDI,0.014339429947237173,0.07365800517921646,0.0028691296465694904,0.7134604305028915,0.12098454872223859,0.06783421601479252,0.006854287038246791,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0
BEL,0.012249658541501654,0.09220990671989664,0.008999641260743374,0.5776350848997632,0.18476785940583795,0.09777391184373603,0.02636395213388217,0.0,0.0,0.0,66.66666666666666,16.666666666666664,16.666666666666664,0.0
BEN,0.00029448058921843767,0.00043079769238829613,0.00014110683696344495,0.9962792992591858,0.0017317782621830702,0.0008781373617239296,0.0002444032288622111,0.0,0.0,0.0,100.0,0.0,0.0,0.0
BGD,0.017309097051530935,0.06843422179428252,0.00783345084458303,0.6289984280816637,0.0966412686707022,0.07027530537407774,0.11050825514561999,0.0,7.6923076923076925,0.0,61.53846153846154,7.6923076923076925,7.6923076923076925,15.384615384615385
BGR,0.15332868695259094,0.2722534239292145,0.060052115470170975,0.004999492783099413,0.1565881073474884,0.027508661150932312,0.32526955008506775,0.0,0.0,0.0,0.0,0.0,0.0,100.0
BHR,0.11453277245163918,0.14979014173150063,0.03558341693133116,0.12771879136562347,0.08871558122336864,0.34233321249485016,0.14132598415017128,0.0,50.0,0.0,0.0,0.0,50.0,0.0
BIH,0.022337432950735092,0.027302531525492668,0.0016844234196469188,0.47229430079460144,0.4515763819217682,0.02009858563542366,0.00470632454380393,0.0,0.0,0.0,100.0,0.0,0.0,0.0
BLR,0.11733422618359328,0.041458942340686915,0.021151372690219432,0.33054921350441874,0.3587592217652127,0.047232289290986954,0.08351473550312222,16.0,0.0,0.0,36.0,36.0,0.0,12.0
BOL,0.00588015209983236,0.006873007323260286,0.002073222931358032,0.43342032386655255,0.4784467393765226,0.015388683345268614,0.057917901156802794,0.0,0.0,0.0,42.857142857142854,57.14285714285714,0.0,0.0
BRA,0.05824316664984508,0.022924067374030226,0.007672367969765522,0.29057439038903493,0.47747727941350604,0.10034411379031856,0.042764613145360876,2.083333333333333,0.0,0.0,29.166666666666668,60.416666666666664,4.166666666666666,4.166666666666666
BRB,0.03916561327059753,0.06076027163362596,0.01907192988922664,0.5846623801626265,0.0030568240181310102,0.030063126876484603,0.26321986663970165,0.0,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333
